GSM50777	GSM50778	GSM50779	GSM50780	GSM50781	GSM50782	GSM50783	GSM50784	pvalues	adj.pvalues
DNAJA1	660.9	541.3	466.2	510.7	877.9	1039.3	904.4	1000.1	0.000123983353862501	0.0358794944690664
DNAJA1	688.4	855.5	857.9	932.4	1582.2	1580.3	1660	1610	1.62341826843417e-06	0.00361746292755186
TNFAIP1	63.9	98.8	73.9	84	197.8	256.7	221	231.1	1.40910749110925e-05	0.0121454161587462
JUNB	27.5	59.9	39.7	55.4	130	172	171.6	155	3.25955517603713e-05	0.0181581669969089
NFKBIA	68.2	174.1	170.9	260.6	989.3	1574.4	1329.1	1749	0.000115259160491335	0.0347630789856268
ICMT	180.8	199	196.6	214.2	154	142.4	136.2	145.8	0.000204278490102806	0.0484248680314981
IFNGR2	350.9	366.1	319	360.6	772.1	834.5	735.5	1032	0.000110162872924929	0.0340938791303638
ACSL3	214.4	247.8	251.1	191	390.5	479.8	492.9	480.3	4.61897255080189e-05	0.0188751621533878
PPP2R5C	141	128.9	116.6	131.5	92	88.8	87.5	89.4	0.000100609429734131	0.0329688223936125
WWTR1	222.1	240.8	255.4	221.6	147.4	123.4	142.9	123	2.04220902482383e-05	0.0133842775588675
UNG	91.8	100.8	90.2	84.8	61.7	58.8	50.9	49.9	7.8007380950654e-05	0.0275910868210067
IRF1	71.1	64.6	70.8	62	209.3	232.5	206.2	216.7	6.09440030461323e-08	0.000459215082318355
NRIP1	157.1	153.4	147.1	139	354.2	372.4	402.6	391.6	1.51374292484845e-07	0.000562178893239967
ICAM1	139.4	125.3	84.6	143.6	1921.9	2052.4	1688.3	1609.6	5.97150784828771e-07	0.00189206285498977
TNFAIP3	45.2	46.1	41.9	36.1	253.9	324.9	275	324.9	1.8262750110219e-06	0.00362519316461889
TNFSF10	36	29.4	13.8	28.4	83.5	101.3	93.6	70.6	0.000119187463857944	0.0349454507519284
CXCL8	1034.2	393.9	539.3	403.2	3202.3	3763.7	2959.5	3630	5.82977115889211e-06	0.00683709424913646
CTSS	52.8	37.9	50.7	28.8	108.6	123.2	140.9	113.2	4.41790370011901e-05	0.0186654501527059
IL1R1	70.9	38.1	28.5	37.4	131.8	134.6	131.3	127.4	2.81798166679055e-05	0.0164479868262129
FHL2	916.4	893.8	970.1	980.1	576.5	532.6	656.6	623.9	1.5835849445406e-05	0.0123056174580128
LGALS9	16.9	20.2	23	23.4	37.5	35.2	41.9	41.6	0.000201585993712303	0.0484248680314981
CX3CL1	31	8.8	21.5	22.2	375.2	444.7	429.3	463.2	1.18777914633457e-07	0.000529345654355464
PDE4B	376.2	449.1	419.2	452.3	612.8	699.6	648.3	754.5	0.000135152369995698	0.038121522286255
DNAJB4	429.6	389.7	328.7	308.9	131.3	88.2	68.3	74.6	3.723503754586e-05	0.0183400345388636
VCAM1	63	38	36.1	44.3	1456.1	1894.1	1384.2	2287.1	5.98577797042689e-05	0.0218657525434463
ARHGAP29	1206.4	1128.9	1198.6	1139.3	896.8	911	817.5	916.9	2.61103388118279e-05	0.0161615744373323
NFKBIE	73.2	65	61	70.8	182.8	140.3	167.4	143	4.43956764391425e-05	0.0186654501527059
NMI	172.2	150.7	153.8	157.6	245.8	225.5	206.1	223.1	0.000158401602902333	0.041525446087914
SLC31A2	28.9	28.3	26.7	28.7	59.1	61.8	71.8	76.6	3.56872258536924e-05	0.0183400345388636
GCH1	48.8	44.8	44.8	49.5	79.5	78.5	66.2	81.2	0.000109813093199701	0.0340938791303638
F3	11.1	2.5	18.4	2.7	116.6	128.3	106.2	168.1	4.34489796798926e-05	0.0186654501527059
SLC12A2	191.2	146.9	152.9	133.7	456.3	427.5	381.8	379.3	6.85787366225703e-06	0.00694609085527607
SNCA	560.1	555.1	598.8	601	426.2	349.6	376.5	422.4	5.24708423793509e-05	0.0201587548403289
CXCL1	166.2	132.7	140.3	102.2	642.4	906.2	857.9	1157.2	0.000141778281743194	0.0390889378222899
RELB	33.7	34.9	31.9	33.5	143.3	154	143.8	117.1	2.59659498427588e-06	0.00385732840230796
BMP2	112	81	122	68.6	369.8	477.8	459.1	508.1	8.19147601942073e-06	0.00793611565829357
BMP2	100.4	124.7	145.4	141.3	526.5	570.7	571.3	402.4	2.26608555682673e-05	0.0144271955607914
CBR3	58.2	65.6	44.9	61.9	145.5	151.4	120.4	137.9	1.76717568844595e-05	0.0123056174580128
DACH1	98.6	107.2	76.7	79.8	43.5	31	26.5	34.4	0.000183760059844844	0.046530970608212
DACH1	34.9	36.8	34.8	31.5	11.8	11.3	2.3	16.9	0.000207176958880614	0.0485949913130182
CCL20	3	3.9	3.1	3.1	237.6	363.4	356.9	249.2	3.58448340138481e-05	0.0183400345388636
TRAF1	73.3	29	42.6	21.9	390.6	426.1	556.4	297.6	0.000174642562933349	0.0447305773545265
UBD///GABBR1	3.5	4	6.7	5	183.7	270.3	158.6	239.8	5.97015067534774e-05	0.0218657525434463
SELE	80.1	78.5	58.9	71.1	2195.5	2511.9	2649.8	3085.7	1.95226486448982e-06	0.00362519316461889
IL18R1	25.3	10.6	11	13.6	114.4	120.1	120.6	108.6	1.00939578638107e-07	0.000529345654355464
LPHN2	133.9	145.7	142.7	147.4	106.6	98.6	93.8	87.7	3.78603235106461e-05	0.0183400345388636
TNIP1	70.3	137.4	152.4	160.4	539	701.3	728.1	589.4	1.31227007844023e-05	0.0121454161587462
LTB	23.2	15.6	12.1	19.7	229.8	328	453.6	366.9	0.000149720435177933	0.0401954271936129
RAC1	2021.3	1882.5	2000.3	2010.9	2256.7	2303.1	2353.7	2291.9	4.65886064908823e-05	0.0188751621533878
JAG1	247.1	198.7	252.3	321	1438.6	1344	1459.4	1315.2	2.50428513718347e-08	0.000459215082318355
NFIB	534.5	528.3	537	455.5	296.2	290.7	223.8	207.9	4.05165758624738e-05	0.0184251195906838
SNRK	789.8	759.8	773.9	836.4	465.1	306.9	287.9	379.3	1.7294527756083e-05	0.0123056174580128
RIPK2	110.8	125.5	124.3	135.3	540.4	564	487.6	661.4	4.92471155185652e-06	0.00645513808882463
OSBPL3	69.8	85.6	83.1	67.1	137.9	156.4	138.9	123.7	9.46359365447532e-05	0.0319510996064657
NFKB2	1.6	7.8	10	1.8	32.8	28.1	35.9	35	3.78576746754647e-05	0.0183400345388636
GATA2	97.4	106	86.6	99.3	61.6	50.4	54.1	60.3	6.39618821594521e-05	0.0229881067767592
CD69	20.9	11.7	11.9	12.6	237.6	353.5	186.7	292.5	0.000148666955960026	0.0401954271936129
CFLAR	495	573.3	549	560	830.9	760.9	925.8	910	0.000103057234226857	0.033281512322856
RND1	20.4	16.6	14.9	10.7	87.2	99.6	94.2	124.9	1.60601345213283e-05	0.0123056174580128
IL1A	44.4	33.2	30.1	37.7	98.5	114.9	125.2	81.6	0.000191765738424572	0.0478531383842541
CSF2	8.9	3.6	4.4	3.9	177.1	122	194.6	162.4	1.41713781863932e-05	0.0121454161587462
