SRR057629	SRR057630	SRR057632	SRR057649	SRR057650	SRR057651
ENSG00000000003	267	132	191	153	140	140
ENSG00000000005	8	0	0	3	2	1
ENSG00000000419	88	60	71	85	67	45
ENSG00000000457	79	68	129	54	46	42
ENSG00000000460	20	13	15	21	14	6
ENSG00000000938	12	21	30	30	37	21
ENSG00000000971	165	93	121	312	133	50
ENSG00000001036	133	143	264	105	133	123
ENSG00000001084	476	114	214	291	157	135
ENSG00000001167	167	145	210	94	127	100
ENSG00000001460	56	22	22	16	26	23
ENSG00000001461	1454	412	363	199	435	309
ENSG00000001497	200	108	282	173	118	152
ENSG00000001561	250	201	200	149	145	74
ENSG00000001617	264	95	250	182	155	169
ENSG00000001626	37	48	77	142	90	58
ENSG00000001629	223	193	240	149	149	150
ENSG00000001630	28	5	6	8	7	5
ENSG00000001631	138	84	179	112	120	79
ENSG00000002016	74	47	124	64	56	70
ENSG00000002079	3	1	1	2	1	0
ENSG00000002330	52	35	69	38	42	35
ENSG00000002549	192	247	189	150	176	115
ENSG00000002586	791	346	671	646	493	468
ENSG00000002587	25	15	24	9	13	12
ENSG00000002726	295	3	1	14	16	20
ENSG00000002745	2	2	3	6	1	2
ENSG00000002746	56	7	7	12	1	5
ENSG00000002822	75	48	77	60	46	58
ENSG00000002834	432	289	355	377	293	244
ENSG00000002919	70	49	83	58	73	61
ENSG00000002933	34	40	35	63	35	29
ENSG00000003056	262	123	318	225	175	171
ENSG00000003096	88	11	30	84	38	15
ENSG00000003137	19	3	12	10	6	7
ENSG00000003147	145	177	284	99	150	190
ENSG00000003249	38	40	60	17	39	38
ENSG00000003393	151	86	150	93	78	79
ENSG00000003400	48	34	37	83	43	26
ENSG00000003402	682	529	594	637	527	357
ENSG00000003436	46	15	41	68	47	33
ENSG00000003509	51	41	77	59	44	37
ENSG00000003756	880	662	975	557	550	582
ENSG00000003987	7	4	8	9	6	4
ENSG00000003989	457	109	404	280	113	162
ENSG00000004059	239	201	334	151	197	209
ENSG00000004139	73	46	79	55	49	39
ENSG00000004142	363	216	435	191	220	249
ENSG00000004399	212	155	231	288	182	159
ENSG00000004455	272	231	456	220	246	276
ENSG00000004468	615	150	306	25	137	184
ENSG00000004478	563	384	791	284	366	446
ENSG00000004487	470	280	464	296	244	289
ENSG00000004534	875	676	845	669	682	603
ENSG00000004660	53	20	51	66	49	44
ENSG00000004700	109	62	92	99	69	45
ENSG00000004766	101	81	107	84	91	49
ENSG00000004776	374	40	124	438	166	99
ENSG00000004777	89	55	107	63	59	57
ENSG00000004779	116	86	125	96	89	90
ENSG00000004799	122	177	84	81	157	39
ENSG00000004809	3	4	5	1	2	3
ENSG00000004838	5	5	1	0	3	2
